name,prompt,negative_prompt
MonkeyNegative,,"(((person))), (((portrait))), EasyNegative, paintings, sketches, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, age spot, glans,extra fingers,fewer fingers,, "(ugly eyes, deformed iris, deformed pupils, fused lips and teeth:1.2), (un-detailed skin, semi-realistic, cgi, 3d, render, sketch, cartoon, drawing, anime:1.2), text, close up, cropped, out of frame, worst quality, low quality, jpeg artifacts, ugly, duplicate, morbid, mutilated, extra fingers, mutated hands, poorly drawn hands, poorly drawn face, mutation, deformed, blurry, dehydrated, bad anatomy, bad proportions, extra limbs, cloned face, disfigured, gross proportions, malformed limbs, missing arms, missing legs, extra arms, extra legs, fused fingers, too many fingers, long neck", ((3d, cartoon, anime, sketches)), (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), bad anatomy, out of view, cut off, ugly, deformed, mutated, ((young)), ((blurry, out of focus))"
Deepnegative,,deepnegative
Bad_prompt,,bad_prompt
_____НЕ СОРТИРОВАННЫЕ_____
Indoor,indoor,
Outdoor,outdoor,
At night,at night,
In the park,in the park,
_____ОСНОВНЫЕ_____,,
16-Bit,16-Bit,
8k,8k,
hdr,hdr,
epic realistic,epic realistic,
Realistic gritty photo,realistic gritty photo,
award-winning,award-winning,
beautiful,beautiful,
biomorphic,biomorphic,
hypomorphic,hypomorphic,
chromatic aberration,chromatic aberration,
eye strain,eye strain,
high contrast,high contrast,
ultra detailed,ultra detailed,
cinematic,cinematic,
ultrarealistic,ultrarealistic,
realistic,realistic,
intricate details,intricate details,
detailed,detailed,
masterpiece,masterpiece,
ornate,ornate,
photorealistic,photorealistic,
RTX,RTX,
Octane,octane,
Unreal,unreal,
polygonal,polygonal,
3d,3d,
primary colors,primary colors,
vibrant color scheme,vibrant color scheme,
acid colors,acid colors,
Color splash style,color splash style,
Studio,studio,
Threesome,threesome,
_____ОПИСАНИЕ_____,,
elegant,elegant,
Chubby,chubby,
furry,furry,
glass,glass,
crystallized,crystallized,
dark,dark,
dystopian,dystopian,
metallic,metallic,
messy,messy,
microscopic,microscopic,
nebulous,nebulous,
overgrown,overgrown,
sci-fi,sci-fi,
_____ПЕРСПЕКТИВА_____,,
Closeup,closeup,
POV shot,POV shot,
Satellite imagery,Satellite imagery,
Drone,Drone,
From Above,From Above,
Long Shot,Long Shot,
Low Angle,Low Angle,
Overhead View,Overhead View,
Panorama,Panorama,
Isometric,Isometric,
Full Shot,Full Shot,
From Behind,From Behind,
From Below,From Below,
Landscape,Landscape,
Portrait,Portrait,
Mid body portrait,mid body portrait,
Macro,Macro,
Studio,Studio,
_____ПЛАТФОРМЫ_____,,
Midjourney,Midjourney,
artstation,artstation,
cgsociety,cgsociety,
Flickr,Flickr,
Behance,Behance,
DeviantArt,DeviantArt,
Unsplash,Unsplash,
_____ЯРКИЙ СВЕТ_____,,
global illumination,global illumination,
highlighted,highlighted,
iridescence,iridescence,
polarized light,polarized light,
rim light,rim light,
volumetric lighting,volumetric lighting,
soft light,soft light,
studio light,studio light,
sun light,sun light,
dramatic light,dramatic light,
dynamic lighting,dynamic lighting,
ambient lighting,ambient lighting,
_____ТЕМНЫЙ СВЕТ_____,,
golden hour,golden hour,
lighting,lighting,
moody lighting,moody lighting,
night time,night time,
shadow,shadow,
dense light rays,dense light rays,
backlight,backlight,
beautifully lit,beautifully lit,
candle light,candle light,
cinematic light,cinematic light,
chiaroscuro,chiaroscuro,
dark shot,dark shot,
_____ИЗЛУЧЕНИЕ_____,,
bioluminiscent,bioluminiscent,
glowing,glowing,
glow in the dark,glow in the dark,
glowwave,glowwave,
holographic,holographic,
holography,holography,
luminous,luminous,
neon,neon,
neon pastel,neon pastel,
radiant,radiant,
sparkling,sparkling,
_____БЛЕСК_____,,
glistening,glistening,
refraction,refraction,
_____CAMERA_____,,
Gopro,Gopro,
iPhone,iPhone,
Leica R7,Leica R7,
Canon EOS 5D,Canon EOS 5D,
Kodak PIXPRO,Kodak PIXPRO,
Nikon D850,Nikon D850,
Sony a6600,Sony a6600,
Fujifilm,Fujifilm,
Polaroid style,Polaroid style,
CCTV,CCTV,
Long exposure style,long exposure style,
_____LENS_____
fisheye Lens,fisheye Lens,
macro,macro,
Bokeh,Bokeh,
nifty fifty,nifty fifty,
sharp focus,sharp focus,
Panoramic,Panoramic,
super wide angle,super wide angle,
tilt-shift,tilt-shift,
35mm,35mm,
70mm,70mm,
150mm,150mm,
_____FOTO-EFFECTS_____
lomo effect,lomo effect,
sepia,sepia,
Monochrome style,monochrome style,
optical art,optical art,
underwater photography,underwater photography,
x-ray photography,x-ray photography,
infrared,infrared,
high speed liquid photography,high speed liquid photography,
haze filter,haze filter,
double exposure,double exposure,
chromatic aberration,chromatic aberration,
autochrome,autochrome,
astrophotography,astrophotography,
_____НАПРАВЛЕНИЯ-1_____,,
Professional,Professional,
Photo,Photo,
RAW,RAW,
Digital Artwork,Digital Artwork,
3D Rendering,3D Rendering,
Painting,Painting,
Drawing,Drawing,
Vector Art,Vector Art,
illustration,illustration,
Technical illustration,Technical illustration,
_____НАПРАВЛЕНИЯ-2_____,,
Amigurumi,amigurumi,
50s Art,50s Art,
Abstract Art,Abstract Art,
Academism,Academism,
Action Painting,Action Painting,
Afrofuturism,Afrofuturism,
Art Deco,Art Deco,
Art Nouveau,Art Nouveau,
Art Photography,Art Photography,
Bauhaus Art,Bauhaus Art,
CGI Art,CGI Art,
Classical Realism,Classical Realism,
Computer Art,Computer Art,
Cutester Art,Cutester Art,
Cybergoth Art,Cybergoth Art,
Cyberpunk Art,Cyberpunk Art,
Dark Wave Art,Dark Wave Art,
Digital Art,Digital Art,
Emo Art,Emo Art,
Futurism,Futurism,
Graffiti Street Art,Graffiti Street Art,
Grunge Art,Grunge Art,
Hippie Art,Hippie Art,
Magical Realism,Magical Realism,
Minimalism Art,Minimalism Art,
New Wave Art,New Wave Art,
Panfuturism,Panfuturism,
Photorealism,Photorealism,
Pixel Art,Pixel Art,
Primitivism Art,Primitivism Art,
Psytrance Art,Psytrance Art,
Retrofuturism,Retrofuturism,
Seapunk Art,Seapunk Art,
Solarpunk Art,Solarpunk Art,
Steampunk Art,Steampunk Art,
Vaporwave Art,Vaporwave Art,
_____ЗАГОТОВКИ_____,,
Greg rutkowski and Magali Villeneuve,by greg rutkowski and magali Villeneuve,
Real Skin,"lightroom, natural skin textural, detail, hyperrealism",
Midjourney style,"(foggy background, epic realistic, rutkowski, hdr, intricate details, hyperdetailed, cinematic, rim light, muted colors:1.2)",
MonkeyPrompt,"best quality, ultra high res, (photorealistic:1.4),, high resolution, detailed, raw photo, sharp re, by lee jeffries nikon d850 film stock photograph 4 kodak portra 400 camera f1.6 lens rich colors hyper realistic lifelike texture dramatic lighting unrealengine trending on artstation cinestill 800,, photorealistic, photo, masterpiece, realistic, realism, photorealism, high contrast, photorealistic digital art trending on Artstation 8k HD high definition detailed realistic, detailed, skin texture, hyper detailed, realistic skin texture, armature, ((HD, clear, sharp, in focus))",
_____MODEL-LORA_____,,
-RealisticVision analog style,analog style,
-RealisticVision modelshoot style,modelshoot style,
-RealisticVision nsfw,nsfw,
-RealisticVision nudity,nudity,
-RealElApocalypse elden ring style,elden ring style,
-RealElApocalypse postapocalypse,postapocalypse,
-RealElApocalypse knollingcase,knollingcase,
-RealElApocalypse analog style,analog style,
-RealElApocalypse bf,bf,
-UnstInkDream nvinkpunk, nvinkpunk,
-UnstInkDream kuvshinov, kuvshinov,
-UnstInkDream dreamlikeart, dreamlikeart,
-UnstInkDream samdoesart, samdoesart,
-UnstInkDream analog style, analog style,
-UnstInkDream modelshoot style, modelshoot style,
-Cyborgdiffusion,Cyborgdiffusion,
-Dreamlikeart,dreamlikeart,
-Mdjrny-v4 style,mdjrny-v4 style,
-Protogen-x3.4 modelshoot style,modelshoot style,
-Protogen-x3.4 analog style,analog style,
-Protogen-x3.4 mdjrny-v4 style,mdjrny-v4 style,
-Protogen-x3.4 nousr robot,nousr robot,
_____LORAS_____,,
-AbstractDisco,in the style of t3xtn,
-Vivid Watercolors,wtrcolor style,
-Marblesh,marblesh,
